Rank,Nick,Name,Category,Followers,Country,Eng. (Auth.),Eng. (Avg.)
1,jlo,Jennifer Lopez,"Music,Cinema & Actors/actresses",252.4M,United States,517.4K,672.4K
2,vindiesel,Vin Diesel,Cinema & Actors/actresses,101.1M,United States,458.8K,559.3K
3,judebellingham,Jude Bellingham,"Lifestyle,Sports with a ball",18.9M,United Kingdom,796.1K,2.1M
4,cznburak,Burak Özdemir,Food & Cooking,54.1M,Turkey,385.8K,496.7K
5,emrata,Emily Ratajkowski,Modeling,30.3M,United States,483.4K,617.3K
6,thenotoriousmma,Conor McGregor Official,Fitness & Gym,46.8M,United States,246.8K,326.8K
7,enzozelocchi,Enzo Zelocchi,Cinema & Actors/actresses,14.4M,India,571.6K,922.2K
8,hannahstocking,Hannah Stocking,Modeling,25.9M,United States,353.1K,473.1K
9,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,Fitness & Gym,10.1M,Russia,842.9K,1.1M
10,hakkiakdenizz,hakki akdeniz,Business & Careers,30.5M,Turkey,227.4K,329.7K
11,otabek_muhammadalievich,Otabek Umarov,,26.4M,Russia,178.9K,304.2K
12,pugachevmark,Mark Pugachev,"Cars & Motorbikes,Luxury",19.6M,Russia,271.1K,398.5K
13,tamaaev,Тамаев Асхаб,Fitness & Gym,13.1M,Russia,408.6K,577.7K
14,snejanaonopka15,Snejana Onopka,Modeling,14.8M,Brazil,377.3K,448.3K
15,neslihanatagul,Neslihan Atagül Doğulu,"Cinema & Actors/actresses,Modeling",14.2M,Turkey,312.6K,392.5K
16,djeiran_han,Джейран Касымова,Family,7M,India,615K,775.8K
17,araikgalstyanmoscowschool,ARAIK GALSTYAN,Beauty,22M,Russia,182.5K,235.7K
18,evcenf,Fahriye Evcen Özçivit,"Lifestyle,Beauty",13.7M,Turkey,288.2K,365.3K
19,adamweitsman,Adam Weitsman,Business & Careers,19.6M,Kazakhstan,177.2K,216.9K
20,leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,61.6M,United States,53.8K,69.2K
21,rahimabramov,Rakhim,Shows,6.2M,Russia,494.6K,663.3K
22,kashikakapoor09,Kashika Kapoor,"Beauty,Lifestyle,Cinema & Actors/actresses",15.7M,India,142.1K,254K
23,irinashayk,irina shayk,Modeling,23.2M,Russia,135.1K,165.1K
24,larissamanoela,Larissa Manoela,Cinema & Actors/actresses,53M,Brazil,40.4K,67.7K
25,shelengovskiy,Dmitriy Shelengovskiy,Art/Artists,13.7M,United States,228.2K,252.9K
26,rosiehw,Rosie HW,Modeling,19.5M,United States,135.4K,173.8K
27,tatawerneck,Tata Werneck,"Cinema & Actors/actresses,Family",56.8M,Brazil,38K,59.1K
28,eilirjani,Elton ILIRJANI,Adult content,11.8M,Brazil,190.7K,274.9K
29,limitless,Jas Mathur,"Business & Careers,Management & Marketing",12.1M,United States,117.4K,208.7K
30,jcvd,Jean-Claude Van Damme,Cinema & Actors/actresses,7.9M,United States,235.1K,293.2K
31,brianmaps,Брайн Мапс (Макс Тарасенко),,5.9M,Russia,289.5K,345.6K
32,chrismcg,Christopher McGinnis,,10.2M,United States,90.9K,191.4K
33,ufc,UFC,"Extreme Sports & Outdoor activity,Shows",38.1M,United States,32.7K,46.8K
34,rafiqkhalid,❥ Khalid Rafiq 👑💫,Lifestyle,4.1M,Russia,219.8K,437.8K
35,bmw,BMW,Cars & Motorbikes,37.6M,United States,36.6K,45.7K
36,kvara7,Khvicha Kvaratskhelia,,3.6M,Russia,343.4K,472.7K
37,dior,Dior Official,"Fashion,Clothing & Outfits,Accessories & Jewellery",45.3M,United States,29.6K,36.4K
38,islam_makhachev,Islam_Makhachev,Fitness & Gym,6.8M,Russia,184.9K,235.7K
39,nazar_8888_,Nazar Babenko,,12.3M,Ukraine,94.1K,117.7K
40,love__rose92,Liubava Rose ❤️🌹,"Nature & landscapes,Lifestyle,Travel",5.8M,India,161.9K,254.1K
41,katyagorod,Ekaterina Gorodnicheva,"Travel,Lifestyle",6.4M,Russia,213.4K,223.3K
42,justking31,Nurtaza Nurbek,"Humor & Fun & Happiness,Family",6.5M,Kazakhstan,153.7K,216.9K
43,abdu_rozik,Abduroziq Official,"Music,Shows",8.3M,Tajikistan,128.9K,159.9K
44,klavacoca,КЛАВА КОКА | Black Star,Music,8.1M,Russia,141.7K,161.6K
45,andreybatt,ANDREY BATT,,10.8M,Russia,106.3K,119.3K
46,juliaroberts,Julia Roberts,Cinema & Actors/actresses,11.4M,United States,80.5K,103.7K
47,helen_yes1,Елена Сажина,Cinema & Actors/actresses,10.2M,Russia,30.3K,113.6K
48,urgantcom,Иван Ургант,"Shows,Cinema & Actors/actresses",11.8M,Russia,84.9K,96.3K
49,mercedesbenz,Mercedes-Benz,"Cars & Motorbikes,Luxury",37.9M,United States,2.1K,29.5K
50,camerondiaz,Cameron Diaz,Cinema & Actors/actresses,11.7M,United States,76.3K,94K
